cnpj;razao_social;cod_scp;dt_ini;dt_fin;forma_trib;forma_apur;qualif_pj;sit_especial;cnae;cod_nat;horario_eleitoral_deducao_lalur;prouni_universidade_para_todos;sudam_sudene_isencao_proj_ind_agric;sudam_sudene_isencao_proj_tec_dig;sudam_sudene_red_escal_setor_prior_proj_ind_agric;finor;finam;pronac_deducao_ir;pat_deducao_ir;atividade_audiov_deducao_ir;fundos_direitos_crianca_adolescente;fundos_idoso;incentivo_desporto;pronon_deducao_ir;pronas_pcd_deducao_ir;empresa_cidada_deducao_ir;rota_2030_deducao_ir;prouni_deducao_csll;rota_2030_deducao_csll;f0000_ano
26.028.389/0001-77;DISTRIBUIDORA DE ALIMENTOS BONITO EIRELI;0;01/01/2024;31/12/2024;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4691500;2305;0;;;;;;;664,77;0;0;0;0;0;0;0;0;0;0;0;2024
56.993.900/0001-31;COMPANHIA METALURGICA PRADA;0;01/01/2020;31/12/2020;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2591800;2054;0;;;;;;;0;41519,7;0;0;0;0;0;0;0;0;0;0;2020
79.107.918/0001-94;TV INDEPENDENCIA LTDA;0;01/01/2018;31/12/2018;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6021700;2062;2595313,98;;;;;;;0;0;0;0;0;0;0;0;0;;0;;2018
03.657.773/0001-33;ILOG TECNOLOGIA LTDA - EPP;0;01/01/2020;31/12/2020;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6201501;2062;0;;;;;;;0;263,87;0;0;0;0;0;0;0;0;0;0;2020
00.617.371/0001-17;LONES TURISMO E VIAGENS LTDA - EPP;0;01/01/2024;31/12/2024;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);7911200;2062;;;;;;;;;;;;;;;;;;;;2024
04.718.633/0001-90;AMAZON SECURITY LTDA;0;01/01/2023;31/12/2023;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);8011101;2062;0;;;;;;;0;995,57;0;0;0;0;0;0;0;0;0;0;2023
29.730.943/0001-51;WH INDUSTRIA, COMERCIO E IMPORTACAO LTDA;0;01/01/2024;31/12/2024;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2823200;2062;0;;;;;;;0;4694,93;0;0;0;0;0;0;0;0;0;0;2024
85.285.963/0001-31;PLASZOM ZOMER INDUSTRIA DE PLASTICOS LTDA.;0;01/01/2023;31/12/2023;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2222600;2062;0;;;;;;;0;57290,93;0;0;0;0;0;0;0;0;0;0;2023
50.770.445/0001-29;PALETRANS EQUIPAMENTOS LTDA.;0;01/01/2015;31/12/2015;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2822402;2062;0;;;;;;;0;16689;0;0;0;0;0;0;0;;0;;2015
27.992.271/0001-27;SOLUCZ SOLUCOES INTELIGENTES EM RELACIONAMENTO LTDA;0;01/01/2024;31/12/2024;LUCRO PRESUMIDO/REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);8220200;2062;0;;;;;;;0;8865,41;0;622,75;0;0;0;0;0;0;0;0;2024
51.894.202/0001-65;DATERRA-ATIVIDADES RURAIS LTDA;0;01/01/2017;31/12/2017;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);134200;2062;0;;;;;;;27500;36423,08;0;6500;0;6500;0;0;0;;0;;2017
20.554.600/0001-09;HANKER MARKETING E EVENTOS LTDA ME;0;01/01/2024;31/12/2024;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);9319101;2062;;;;;;;;;;;;;;;;;;;;2024
47.820.097/0001-42;GAPLAN ADMINISTRADORA DE CONSORCIO LTDA.;0;01/01/2022;31/12/2022;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6493000;2062;0;;;;;;;0;17989,89;0;0;0;0;0;0;0;0;0;0;2022
08.807.683/0001-03;FERROPORT LOGISTICA COMERCIAL EXPORTADORA S.A;0;01/01/2024;31/12/2024;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);5250804;2054;0;;;;;;;3591087,11;2119,65;0;490000;0;1780000;0;0;89189,38;0;0;0;2024
09.077.272/0001-64;HOTEL VILA DO MAR LTDA;0;01/01/2017;31/12/2017;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);8230002;2062;0;;;;;;;0;11796,12;0;0;0;0;0;0;0;;0;;2017
20.718.525/0001-74;CARBEL KOREA VEICULOS LTDA;0;01/01/2022;31/12/2022;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4511101;2062;0;;;;;;;18000;19792,9;0;4500;4500;4500;0;0;0;0;0;0;2022
20.102.083/0001-37;CEMINAS CONSTRUCOES ELETRICAS LTDA;0;01/01/2020;31/12/2020;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4221902;2062;0;;;;;;;0;1298,49;0;0;0;0;0;0;0;0;0;0;2020
45.184.066/0001-17;POLICLIN S.A. SERVICOS MEDICO-HOSPITALARES;0;01/01/2023;31/12/2023;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);8610101;2054;0;;;;;;;0;49346,52;0;0;0;0;0;0;0;0;0;0;2023
43.866.786/0001-37;BAR BOTECARIA LTDA;0;01/01/2023;31/12/2023;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);5611205;2062;;;;;;;;;;;;;;;;;;;;2023
57.773.509/0001-94;ALPHAQUIP MAQUINAS E EQUIPAMENTOS LTDA;0;01/01/2016;31/12/2016;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4669999;2062;0;;;;;;;0;13105,45;0;0;0;0;0;0;0;;0;;2016
09.265.225/0001-44;RMC TRANSPORTES E AGENCIAMENTO DE CARGAS LTDA;0;01/01/2024;31/12/2024;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);5250805;2062;0;;;;;;;23262,96;0;0;0;4986,84;4986,84;11631,48;0;0;0;0;0;2024
05.576.294/0001-18;SOTTELLI SERVICOS DE INFORMATICA LTDA;0;01/01/2024;31/12/2024;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6204000;2062;0;;;;;;;0;945,09;0;0;0;0;0;0;0;0;0;0;2024
12.919.786/0001-24;TCP - TERMINAL DE CONTEINERES DE PARANAGUA S/A;0;01/01/2020;31/12/2020;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);5231102;2046;0;;;;;;;61572,54;178958,08;0;30786,28;0;0;0;0;0;0;0;0;2020
15.102.347/0001-12;CHALLENGER COMERCIO DE AUTOMOVEIS LTDA;0;01/01/2015;31/12/2015;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4511101;2062;0;;;;;;;0;2053,93;0;513,49;0;0;0;0;0;;0;;2015
07.026.923/0001-61;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO SICOOB ARENITO;0;01/01/2019;31/12/2019;LUCRO REAL;ANUAL;PJ COMPONENTE DO SISTEMA FINANCEIRO;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6424703;2143;;;;;;;;0;265,12;0;0;0;0;0;0;0;;0;0;2019
73.856.593/0001-66;PRATI, DONADUZZI &  CIA LTDA;0;01/01/2024;31/12/2024;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2121101;2062;0;;;;;;;1626239,61;260651,01;0;406559,9;406559,9;813119,8;406559,9;406559,9;0;0;0;0;2024
09.403.857/0001-27;GH EVENTOS LTDA;0;01/06/2023;31/12/2023;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);7739099;2062;;;;;;;;;;;;;;;;;;;;2023
02.119.490/0001-75;SERIGY VEICULOS LTDA;0;01/01/2022;31/12/2022;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4511101;2062;0;;;;;;;0;8700,05;0;0;0;0;0;0;0;0;0;0;2022
23.547.554/0001-09;FAST RESTAURANTES LTDA;0;01/01/2024;31/12/2024;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);5611201;2062;;;;;;;;;;;;;;;;;;;;2024
71.403.133/0001-57;REI AUTO PARTS INDUSTRIA E COMERCIO LTDA;0;01/01/2022;31/12/2022;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2451200;2062;0;;;;;;;0;3016,47;0;0;0;0;0;0;0;0;0;0;2022
78.626.983/0001-63;BANCO VR S.A.;0;01/01/2022;31/12/2022;LUCRO REAL;ANUAL;PJ COMPONENTE DO SISTEMA FINANCEIRO;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6422100;2054;;;;;;;;0;4737,57;0;0;0;0;0;0;0;;0;0;2022
07.301.372/0001-05;MITSUBISHI INDUSTRIAS PESADAS DO BRASIL LTDA;0;01/01/2021;31/12/2021;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2829199;2062;0;;;;;;;0;3262,86;0;0;0;0;0;0;0;0;0;0;2021
23.853.480/0001-39;HELP FRANCHISING PARTICIPACOES LTDA;0;01/01/2020;31/12/2020;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);7740300;2062;0;;;;;;;0;31190,79;0;0;0;0;0;0;0;0;0;0;2020
07.084.143/0001-78;C G TRANSPORTES LTDA - ME;0;01/01/2023;31/12/2023;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4929902;2062;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;2023
